500 249500
269 158 202
158 269 202
352 9 871
9 352 871
25 365 966
365 25 966
290 363 677
363 290 677
161 417 754
417 161 754
17 38 529
38 17 529
94 402 244
402 94 244
45 323 634
323 45 634
14 353 889
353 14 889
445 15 70
15 445 70
491 137 229
137 491 229
45 489 590
489 45 590
269 366 955
366 269 955
235 157 170
157 235 170
412 170 588
170 412 588
19 187 626
187 19 626
400 133 880
133 400 880
145 30 203
30 145 203
279 44 409
44 279 409
20 489 276
489 20 276
442 332 413
332 442 413
171 230 255
230 171 255
261 499 621
499 261 621
68 86 778
86 68 778
239 350 948
350 239 948
179 369 487
369 179 487
157 270 972
270 157 972
389 267 502
267 389 502
445 398 47
398 445 47
354 270 888
270 354 888
130 212 573
212 130 573
396 236 303
236 396 303
151 349 654
349 151 654
124 418 240
418 124 240
403 9 442
9 403 442
203 188 312
188 203 312
43 197 434
197 43 434
15 86 53
86 15 53
370 31 803
31 370 803
417 237 573
237 417 573
157 220 785
220 157 785
230 116 373
116 230 373
385 119 223
119 385 223
391 243 641
243 391 641
131 498 502
498 131 502
426 202 42
202 426 42
90 97 239
97 90 239
376 112 677
112 376 677
429 482 209
482 429 209
232 251 298
251 232 298
157 261 518
261 157 518
294 343 634
343 294 634
168 229 605
229 168 605
391 120 349
120 391 349
384 104 699
104 384 699
238 382 901
382 238 901
280 472 850
472 280 850
371 348 463
348 371 463
48 129 297
129 48 297
109 361 401
361 109 401
408 370 662
370 408 662
426 164 5
164 426 5
413 332 86
332 413 86
18 75 559
75 18 559
219 311 15
311 219 15
419 49 897
49 419 897
172 329 221
329 172 221
23 200 69
200 23 69
338 101 198
101 338 198
487 210 411
210 487 411
240 118 281
118 240 281
402 45 297
45 402 297
260 310 482
310 260 482
198 180 57
180 198 57
109 400 721
400 109 721
124 171 270
171 124 270
373 343 100
343 373 100
94 218 152
218 94 152
163 56 753
56 163 753
213 396 464
396 213 464
476 136 934
136 476 934
109 391 331
391 109 331
407 151 641
151 407 641
389 201 822
201 389 822
298 311 574
311 298 574
19 287 245
287 19 245
290 13 440
13 290 440
242 107 659
107 242 659
246 123 67
123 246 67
352 188 963
188 352 963
168 165 100
165 168 100
102 274 491
274 102 491
286 181 494
181 286 494
427 422 547
422 427 547
101 73 858
73 101 858
175 92 498
92 175 498
272 234 11
234 272 11
213 328 970
328 213 970
372 427 93
427 372 93
439 279 282
279 439 282
403 447 299
447 403 299
355 401 73
401 355 73
346 187 607
187 346 607
192 467 381
467 192 381
239 68 454
68 239 454
98 96 899
96 98 899
448 368 633
368 448 633
459 81 814
81 459 814
429 453 241
453 429 241
375 245 372
245 375 372
9 148 319
148 9 319
308 355 72
355 308 72
233 201 260
201 233 260
192 393 227
393 192 227
74 484 147
484 74 147
28 434 243
434 28 243
279 382 112
382 279 112
265 193 193
193 265 193
79 475 499
475 79 499
172 350 744
350 172 744
44 359 244
359 44 244
215 19 99
19 215 99
287 252 152
252 287 152
399 297 897
297 399 897
478 371 881
371 478 881
126 251 316
251 126 316
369 31 50
31 369 50
333 296 744
296 333 744
27 227 719
227 27 719
378 399 421
399 378 421
122 295 132
295 122 132
218 10 151
10 218 151
169 149 255
149 169 255
321 49 52
49 321 52
218 379 275
379 218 275
451 5 27
5 451 27
119 227 910
227 119 910
170 60 206
60 170 206
266 439 785
439 266 785
485 169 184
169 485 184
258 143 831
143 258 831
390 361 341
361 390 341
393 30 842
30 393 842
0 351 891
351 0 891
405 421 771
421 405 771
180 225 628
225 180 628
59 344 707
344 59 707
469 366 768
366 469 768
27 132 59
132 27 59
312 469 729
469 312 729
348 227 872
227 348 872
179 469 86
469 179 86
20 362 116
362 20 116
320 458 120
458 320 120
93 81 800
81 93 800
318 210 212
210 318 212
15 417 181
417 15 181
233 37 709
37 233 709
366 449 373
449 366 373
187 178 222
178 187 222
267 402 901
402 267 901
236 488 274
488 236 274
451 457 489
457 451 489
166 129 947
129 166 947
138 222 529
222 138 529
290 393 91
393 290 91
2 260 8
260 2 8
184 493 398
493 184 398
245 211 847
211 245 847
470 399 377
399 470 377
192 166 779
166 192 779
94 254 620
254 94 620
220 57 929
57 220 929
209 75 58
75 209 58
8 213 632
213 8 632
37 4 377
4 37 377
128 6 137
6 128 137
489 42 631
42 489 631
239 139 194
139 239 194
86 110 93
110 86 93
463 154 111
154 463 111
94 248 218
248 94 218
66 468 775
468 66 775
495 29 851
29 495 851
53 38 916
38 53 916
38 427 772
427 38 772
415 408 631
408 415 631
53 397 673
397 53 673
36 136 665
136 36 665
230 74 627
74 230 627
176 389 781
389 176 781
287 483 382
483 287 382
5 50 702
50 5 702
133 397 232
397 133 232
336 451 270
451 336 270
252 489 49
489 252 49
25 404 957
404 25 957
156 309 354
309 156 354
181 345 342
345 181 342
198 428 768
428 198 768
325 104 657
104 325 657
107 243 493
243 107 493
341 249 543
249 341 543
43 234 440
234 43 440
275 70 243
70 275 243
397 322 584
322 397 584
447 199 841
199 447 841
404 355 150
355 404 150
111 389 848
389 111 848
305 87 128
87 305 128
74 413 732
413 74 732
83 372 827
372 83 827
76 65 928
65 76 928
471 108 162
108 471 162
264 384 732
384 264 732
7 133 907
133 7 907
444 80 106
80 444 106
285 337 314
337 285 314
287 300 203
300 287 203
487 105 790
105 487 790
115 31 55
31 115 55
199 467 779
467 199 779
27 395 344
395 27 344
455 367 453
367 455 453
118 131 689
131 118 689
202 490 674
490 202 674
109 434 107
434 109 107
216 71 944
71 216 944
30 211 596
211 30 596
85 198 53
198 85 53
227 314 437
314 227 437
283 365 404
365 283 404
414 392 799
392 414 799
259 348 518
348 259 518
64 318 649
318 64 649
105 20 492
20 105 492
279 130 926
130 279 926
386 198 850
198 386 850
182 80 61
80 182 61
278 165 759
165 278 759
332 244 425
244 332 425
121 27 791
27 121 791
25 294 35
294 25 35
176 405 735
405 176 735
195 321 53
321 195 53
344 426 426
426 344 426
188 57 56
57 188 56
115 444 106
444 115 106
317 478 538
478 317 538
378 109 555
109 378 555
489 441 299
441 489 299
415 62 179
62 415 179
58 439 973
439 58 973
93 115 378
115 93 378
329 162 199
162 329 199
234 359 125
359 234 125
160 47 534
47 160 534
68 162 478
162 68 478
174 331 309
331 174 309
212 209 918
209 212 918
267 199 711
199 267 711
419 466 125
466 419 125
98 24 564
24 98 564
71 469 531
469 71 531
449 150 194
150 449 194
0 385 553
385 0 553
477 45 100
45 477 100
11 114 115
114 11 115
342 288 446
288 342 446
151 353 508
353 151 508
69 472 59
472 69 59
132 391 525
391 132 525
257 341 401
341 257 401
173 412 722
412 173 722
204 213 873
213 204 873
250 213 258
213 250 258
155 190 303
190 155 303
108 54 417
54 108 417
223 396 58
396 223 58
21 399 763
399 21 763
381 320 87
320 381 87
440 452 331
452 440 331
465 209 672
209 465 672
218 382 85
382 218 85
441 438 298
438 441 298
314 189 864
189 314 864
424 196 554
196 424 554
227 304 960
304 227 960
497 379 856
379 497 856
55 401 255
401 55 255
170 282 75
282 170 75
257 75 379
75 257 379
88 392 588
